TimeStamp,Code
2019529.4823,sw_8
2019530.4989,sw_2
2019535.2641,sw_1
2019539.6044,sw_2
2019543.6595,sw_1
2019548.0076,sw_1
2019561.1661,sw_8
2019562.1251,sw_2
2019566.759,sw_1
2019571.0397,sw_1
2019575.4194,sw_1
2019579.7394,sw_2
2019586.475,sw_8
2019587.4795,sw_1
2019591.7765,sw_2
2019595.8685,sw_1
2019600.1965,sw_2
2019604.2762,sw_1
2019610.5101,sw_8
2019611.5044,sw_2
2019615.6181,sw_1
2019619.9117,sw_1
2019624.2309,sw_1
2019628.5948,sw_2
2019635.5268,sw_8
2019636.5105,sw_2
2019640.584,sw_1
2019644.8934,sw_2
2019649.0274,sw_1
2019653.3549,sw_1
